component,time,signal
Test_27_run_3,734354.5795680486,176.92942149311284
Test_27_run_3,734354.579614353,176.12917219482193
Test_27_run_3,734354.5796606413,176.03317731097448
Test_27_run_3,734354.5797073912,140.1811636180879
Test_27_run_3,734354.5797515934,175.19188370286852
Test_27_run_3,734354.5797980103,176.3840942401133
Test_27_run_3,734354.5798466088,176.7371410294671
Test_27_run_3,734354.5798907189,137.36888147164424
Test_27_run_3,734354.5799349247,177.56486418282753
Test_27_run_3,734354.579981147,175.66634978925887
Test_27_run_3,734354.5800274526,176.24553787048427
Test_27_run_3,734354.5800737443,175.31058617914493
Test_27_run_3,734354.5801200174,175.59103823266267
Test_27_run_3,734354.580166787,141.3058664863331
Test_27_run_3,734354.5802129374,176.6602981735572
Test_27_run_3,734354.5802592315,174.91691757408364
Test_27_run_3,734354.5803055174,174.60453730365091
Test_27_run_3,734354.5803519062,53.23164772764314
Test_27_run_3,734354.5803980383,1.1765019678665967
Test_27_run_3,734354.5804446817,123.72625223762445
Test_27_run_3,734354.5804913773,124.30006404192434
Test_27_run_3,734354.5805379908,124.20317466598597
Test_27_run_3,734354.5805845347,125.3384250232397
Test_27_run_3,734354.5806310255,141.97318479402466
Test_27_run_3,734354.5806775625,159.87867260229635
Test_27_run_3,734354.5807241586,124.23763175006916
Test_27_run_3,734354.5807705324,124.6319384806912
Test_27_run_3,734354.5808171123,174.39957605339913
Test_27_run_3,734354.5808636956,123.51250539658588
Test_27_run_3,734354.5809100787,141.76628830501255
Test_27_run_3,734354.5809566064,159.15806216637776
Test_27_run_3,734354.5810032187,125.22025827229831
Test_27_run_3,734354.5810495602,178.0658808680007
Test_27_run_3,734354.5810940175,118.63122656474174
Test_27_run_3,734354.5811379838,88.99494712595971
Test_27_run_3,734354.5811841157,1.356620009027115
Test_27_run_3,734354.5812306007,54.39452396877647
Test_27_run_3,734354.5812774457,107.66432123855718
Test_27_run_3,734354.5813240579,107.17871789163432
Test_27_run_3,734354.5813706898,106.83720924479685
Test_27_run_3,734354.58141736,124.90560342111512
Test_27_run_3,734354.5814642083,107.332498865412
Test_27_run_3,734354.5815105278,125.11247062286706
Test_27_run_3,734354.5815574109,106.94987495274054
Test_27_run_3,734354.581603735,124.86850435403494
Test_27_run_3,734354.5816504306,108.1498077685028
Test_27_run_3,734354.5816969804,107.2318971400163
Test_27_run_3,734354.5817411098,99.6902007523364
Test_27_run_3,734354.5817877925,130.50295575572733
Test_27_run_3,734354.5818343274,158.0390452192204
Test_27_run_3,734354.58187889,71.15545055406915
Test_27_run_3,734354.5819248946,1.6030998074489837
Test_27_run_3,734354.5819711852,1.649894715386797
Test_27_run_3,734354.5820176076,19.25833633714599
Test_27_run_3,734354.5820644028,71.74667270781137
Test_27_run_3,734354.5821110312,71.52355377170927
Test_27_run_3,734354.5821577002,89.1932494051768
Test_27_run_3,734354.5822043784,89.85916789635131
Test_27_run_3,734354.5822510648,89.78458332825689
Test_27_run_3,734354.5822976956,89.16765961874651
Test_27_run_3,734354.5823443553,89.26616168772624
Test_27_run_3,734354.5823886986,80.22426489591393
Test_27_run_3,734354.582435482,65.20317693806244
Test_27_run_3,734354.5824821091,99.069105024124
Test_27_run_3,734354.5825263739,88.90885266048245
Test_27_run_3,734354.5825730162,72.26957491893847
Test_27_run_3,734354.5826203461,72.97015012794698
Test_27_run_3,734354.5826670255,1.8207112505828558
Test_27_run_3,734354.5827133183,1.9630477271841016
Test_27_run_3,734354.5827599803,54.0852103085579
Test_27_run_3,734354.5828064468,53.36015985085013
Test_27_run_3,734354.5828509683,59.71199086289127
Test_27_run_3,734354.5828975558,65.2101973004643
Test_27_run_3,734354.582946478,53.94848630912973
Test_27_run_3,734354.5829908488,60.04696561742779
Test_27_run_3,734354.5830351076,54.02414375581522
Test_27_run_3,734354.5830817153,54.182386586063124
Test_27_run_3,734354.5831283808,72.25328886963655
Test_27_run_3,734354.5831749619,53.96502447530254
Test_27_run_3,734354.5832214965,53.70173104097373
Test_27_run_3,734354.5832682395,73.04371517619316
Test_27_run_3,734354.58331486,71.73606539518735
Test_27_run_3,734354.5833615127,71.92447661536237
Test_27_run_3,734354.5834082164,54.00823979972366
Test_27_run_3,734354.5834548867,71.68458386975536
Test_27_run_3,734354.5835014989,71.94652202655654
Test_27_run_3,734354.5835481388,71.14597029196253
Test_27_run_3,734354.5835924422,78.94458847982027
Test_27_run_3,734354.5836367292,53.22604672235816
Test_27_run_3,734354.5836834097,71.23411644239738
Test_27_run_3,734354.583730029,53.60520884410554
Test_27_run_3,734354.583776677,71.1493942807912
Test_27_run_3,734354.5838233009,54.03827018839492
Test_27_run_3,734354.5838701644,87.9715665564083
Test_27_run_3,734354.5839169074,71.2111115078476
Test_27_run_3,734354.5839634306,53.95171264905048
Test_27_run_3,734354.5840100741,71.20882296063967
Test_27_run_3,734354.5840566806,70.52351610677543
Test_27_run_3,734354.5841032754,70.34124305838841
Test_27_run_3,734354.5841476016,77.78002320337755
Test_27_run_3,734354.5841918576,53.28539021228306
Test_27_run_3,734354.5842385729,53.42412503618624
Test_27_run_3,734354.5842853831,70.17395666840132
Test_27_run_3,734354.5843320092,87.55506910704808
Test_27_run_3,734354.584378802,52.94238093587819
Test_27_run_3,734354.5844253738,53.20851934648088
Test_27_run_3,734354.5844720671,70.94996708469642
Test_27_run_3,734354.5845186436,69.78172871798242
Test_27_run_3,734354.5845652871,70.6721898396283
Test_27_run_3,734354.584611956,70.95920391375267
Test_27_run_3,734354.5846585497,70.54064599513492
