component,initial_value,final_value,change_percent,slope,drift_rate,volatility,anomaly,anomaly_score,anomaly_percentile,drift_percentile,risk_score,status,explanation
Test_10_run_1,2.4908879217891333,21.94154400273526,780.8723913586392,420.6638569089849,41038.94948321914,6.680574304489199,-1,0.6848166739906272,96.15384615384616,100.0,97.88461538461539,CRITICAL,unusual behavior compared with other components; high drift from its initial value
Test_1_run_1,0.7934254974944671,1.7843084123821722,124.8866992572754,-11906.298197900134,2264.944358115833,46.03012319734912,-1,0.5876632672705725,94.23076923076923,99.03846153846155,96.39423076923077,CRITICAL,unusual behavior compared with other components; high drift from its initial value; higher-than-usual signal variation
Test_1_run_2,1.375646633801055,0.0584963203532492,-95.74772191368831,4519.946717391644,668648.8393654774,88.01084127414897,-1,0.7511664101218339,100.0,91.34615384615384,96.10576923076923,CRITICAL,unusual behavior compared with other components; high drift from its initial value; higher-than-usual signal variation
Test_2_run_3,116.74011356078586,0.07353416038659515,-99.93701037445942,-8836.08576452097,4909.58382970511,53.0489259722931,-1,0.5115468421593882,92.3076923076923,96.15384615384616,94.03846153846155,CRITICAL,unusual behavior compared with other components; high drift from its initial value; higher-than-usual signal variation
Test_38_run_1,108.91841383973289,232.21755799982782,113.20321313301653,1058.1073858559564,1888.09749289389,70.66959987218222,-1,0.5054467302111457,89.42307692307693,98.07692307692307,93.31730769230771,CRITICAL,unusual behavior compared with other components; high drift from its initial value; higher-than-usual signal variation
Test_29_run_1,97.75542881474016,207.99999835687677,112.7759050099038,867.9729502115575,1520.502115495819,66.08282006992548,1,0.495680562172353,88.46153846153845,97.11538461538461,92.35576923076923,CRITICAL,high drift from its initial value; higher-than-usual signal variation
Test_26_run_1,113.196649396609,217.699101096027,92.31938600344085,1116.3420261325462,1809.5873580508778,81.57119778397706,-1,0.5391428012425641,93.26923076923077,87.5,90.67307692307693,CRITICAL,unusual behavior compared with other components; high drift from its initial value; higher-than-usual signal variation
Test_28_run_1,185.2625408325891,23.739065925080485,-87.18625696355262,-4168.907475832119,127317.20870651095,40.40322659376963,-1,0.5113251775518014,91.34615384615384,83.65384615384616,87.88461538461539,CRITICAL,unusual behavior compared with other components; high drift from its initial value; higher-than-usual signal variation
Test_4_run_1,118.27958721148838,2.7279532642898854,-97.69363985062513,-3543.414743938358,1043.1619650535663,39.059088480961165,1,0.4327805411084025,77.88461538461539,95.1923076923077,85.67307692307693,CRITICAL,high drift from its initial value; higher-than-usual signal variation
Test_39_run_1,173.47081229827583,21.547747506948824,-87.57845932611463,-5006.7036358936075,20312.903008343645,55.62801044093475,1,0.4660649468189844,83.65384615384616,84.61538461538461,84.08653846153848,CRITICAL,high drift from its initial value; higher-than-usual signal variation
